City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Le Port,RE,2021-11-20 17:59:13,-20.9373,55.2919,77.0,89,39,5.66
217,Huntsville,US,2021-11-20 17:58:55,34.7304,-86.5861,60.13,35,1,3.0
218,Butaritari,KI,2021-11-20 17:50:39,3.0707,172.7902,82.36,66,79,14.34
219,Namatanai,PG,2021-11-20 17:59:13,-3.6667,152.4333,77.67,85,49,3.8
220,Pulgaon,IN,2021-11-20 17:59:14,20.7333,78.3333,71.85,74,54,5.95
221,Magnitogorsk,RU,2021-11-20 17:59:14,53.4186,59.0472,20.23,93,90,15.66
222,Maldonado,UY,2021-11-20 17:59:14,-34.6667,-54.9167,70.23,36,16,10.29
223,Port Alfred,ZA,2021-11-20 17:50:36,-33.5906,26.891,64.44,70,75,15.68
224,Nagato,JP,2021-11-20 17:59:15,34.3833,131.2,53.51,76,5,6.29
225,Gursarai,IN,2021-11-20 17:59:15,25.6148,79.1788,67.78,63,80,1.66
226,Karpathos,GR,2021-11-20 17:59:15,35.507,27.2132,60.76,59,20,24.16
227,Aykhal,RU,2021-11-20 18:00:16,66.0,111.5,-21.64,100,92,5.46
228,Gravelbourg,CA,2021-11-20 18:00:16,49.8834,-106.5512,35.31,63,45,19.28
229,Brighton,GB,2021-11-20 18:00:16,50.8284,-0.1395,51.33,88,75,1.99
230,Barcelos,PT,2021-11-20 17:59:51,41.5388,-8.6151,61.84,68,87,3.4
231,Alice Springs,AU,2021-11-20 17:56:25,-23.7,133.8833,72.95,53,38,10.36
232,Aklavik,CA,2021-11-20 18:00:17,68.2191,-135.0107,2.12,96,100,3.36
233,Rocha,UY,2021-11-20 18:00:17,-34.4833,-54.3333,79.5,34,11,10.13
234,Omboue,GA,2021-11-20 18:00:18,-1.5746,9.2618,76.73,88,94,5.55
235,Novomykolayivka,UA,2021-11-20 18:00:18,47.9781,35.9102,46.65,64,88,19.91
236,Thompson,CA,2021-11-20 17:50:36,55.7435,-97.8558,19.56,86,75,12.66
237,Sterling,US,2021-11-20 17:59:27,39.0062,-77.4286,48.15,55,1,4.0
